symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type
BTCUSDT,2026-05-16T20:30:00+00:00,bearish,78240.01,78224.361998,78484.4055,77873.41675,0.006137592549781023,0.8129,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.0036825555298686135), 'exit_price': np.float64(77873.41675), 'pnl_gross': np.float64(1.2923753637034718), 'commission': np.float64(0.14338659074123783)}, {'type': 'sl_remaining', 'contracts': np.float64(0.002455037019912409), 'exit_price': np.float64(78224.361998), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.09602185228205971)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T20:35:00+00:00,bearish,78234.85,78219.20303,78484.4055,77860.51675000002,0.006059548614835978,0.8308,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.0036357291689015866), 'exit_price': np.float64(77860.51675000002), 'pnl_gross': np.float64(1.3040861706807287), 'commission': np.float64(0.14153987592686285)}, {'type': 'sl_remaining', 'contracts': np.float64(0.002423819445934391), 'exit_price': np.float64(78219.20303), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.09479461267480215)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T20:40:00+00:00,bearish,78223.41,78207.765318,78484.4055,77831.91675000002,0.005841691376309418,0.8611,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.0035050148257856507), 'exit_price': np.float64(77831.91675000002), 'pnl_gross': np.float64(1.3173548030902598), 'commission': np.float64(0.1364010110640323)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0023366765505237674), 'exit_price': np.float64(78207.765318), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.0913731256437183)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T22:00:00+00:00,bearish,78207.11,78191.468578,78475.57788,77804.40818,0.005727211685024013,0.8829,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.0034363270110144076), 'exit_price': np.float64(77804.40818), 'pnl_gross': np.float64(1.3300661005413918), 'commission': np.float64(0.13368069470246216)}, {'type': 'sl_remaining', 'contracts': np.float64(0.002290884674009605), 'exit_price': np.float64(78191.468578), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.0895638185018219)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T22:05:00+00:00,bearish,78178.01,78162.374398,78475.57788,77731.65818,0.005211637963095447,0.9402,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.003126982777857268), 'exit_price': np.float64(77731.65818), 'pnl_gross': np.float64(1.3468421958298211), 'commission': np.float64(0.12153277821157402)}, {'type': 'sl_remaining', 'contracts': np.float64(0.002084655185238179), 'exit_price': np.float64(78162.374398), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.0814707995396593)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T22:45:00+00:00,bearish,78220.42,78204.775916,78464.94666,77853.63001,0.006399786772919829,0.8485,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.0038398720637518972), 'exit_price': np.float64(77853.63001), 'pnl_gross': np.float64(1.3483553547502696), 'commission': np.float64(0.14947398946853768)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0025599147091679318), 'exit_price': np.float64(78204.775916), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.1000987780972752)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T22:50:00+00:00,bearish,78213.27,78197.627346,78464.94666,77835.75501000001,0.006268545199715461,0.8715,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.0037611271198292762), 'exit_price': np.float64(77835.75501000001), 'pnl_gross': np.float64(1.3610478568455735), 'commission': np.float64(0.14637508453024925)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0025074180798861844), 'exit_price': np.float64(78197.62734600001), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.09803707230578136)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T22:55:00+00:00,bearish,78186.25,78170.61275,78464.94666,77768.20501,0.0057077098240505345,0.9326,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.0034246258944303208), 'exit_price': np.float64(77768.20501), 'pnl_gross': np.float64(1.3780959665231671), 'commission': np.float64(0.1331635043203059)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0022830839296202137), 'exit_price': np.float64(78170.61275), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.089235034869045)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T23:00:00+00:00,bearish,78156.68,78141.048664,78464.94666,77694.28000999999,0.005205586656093312,-0.4068,"['breakeven_50% en vela 4619', {'type': 'sl_full', 'contracts': np.float64(0.005205586656093312), 'exit_price': np.float64(78141.048664), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.2033850001092283)}]",full_sl
BTCUSDT,2026-05-16T23:10:00+00:00,bearish,78184.0,78168.3632,78464.94666,77762.58001,0.005690073915850122,0.9413,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.003414044349510073), 'exit_price': np.float64(77762.58001), 'pnl_gross': np.float64(1.385361806945679), 'commission': np.float64(0.13274244844323274)}, {'type': 'sl_remaining', 'contracts': np.float64(0.002276029566340049), 'exit_price': np.float64(78168.3632), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.08895675289780372)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T23:45:00+00:00,bearish,78194.0,78178.3612,78456.6,77800.09999999999,0.006141379751186548,0.9144,"['breakeven_50% en vela 4619', {'type': 'tp1_partial', 'contracts': np.float64(0.0036848278507119283), 'exit_price': np.float64(77800.09999999999), 'pnl_gross': np.float64(1.3938274046037447), 'commission': np.float64(0.14333998763408654)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0024565519004746193), 'exit_price': np.float64(78178.3612), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.09602460089092563)}]",tp1_partial_then_sl
BTCUSDT,2026-05-16T23:50:00+00:00,bearish,78153.7,78138.06926,78456.6,77699.34999999998,0.005369568644335911,-0.4196,"['breakeven_50% en vela 4619', {'type': 'sl_full', 'contracts': np.float64(0.005369568644335911), 'exit_price': np.float64(78138.06926), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.20978386331372187)}]",full_sl
BTCUSDT,2026-05-16T23:55:00+00:00,bearish,78148.05,78132.42039,78456.6,77685.225,0.00525084695015384,-0.4103,"['breakeven_50% en vela 4619', {'type': 'sl_full', 'contracts': np.float64(0.00525084695015384), 'exit_price': np.float64(78132.42039), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.20513069065648462)}]",full_sl
BTCUSDT,2026-05-19T00:45:00+00:00,bearish,77229.25,77213.80415,77569.44924,76718.95113999999,0.004744263701912679,1.043,"['breakeven_50% en vela 5199', {'type': 'tp1_partial', 'contracts': np.float64(0.0028465582211476075), 'exit_price': np.float64(76718.95113999999), 'pnl_gross': np.float64(1.4086279038751568), 'commission': np.float64(0.1091924805426943)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0018977054807650718), 'exit_price': np.float64(77213.80415), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.07326452966308791)}]",tp1_partial_then_sl
BTCUSDT,2026-05-19T00:50:00+00:00,bearish,77195.02,77179.580996,77569.44924,76633.37614000001,0.004352331162205636,1.0912,"['breakeven_50% en vela 5200', {'type': 'tp1_partial', 'contracts': np.float64(0.0026113986973233818), 'exit_price': np.float64(76633.37614000001), 'pnl_gross': np.float64(1.4263586494300966), 'commission': np.float64(0.10006014931174437)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0017409324648822546), 'exit_price': np.float64(77179.580996), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.06718221909097295)}]",tp1_partial_then_sl
BTCUSDT,2026-05-19T00:55:00+00:00,bearish,77140.87,77125.441826,77569.44924,76498.00113999998,0.0038406140724231946,1.1504,"['breakeven_50% en vela 5201', {'type': 'tp1_partial', 'contracts': np.float64(0.0023043684434539166), 'exit_price': np.float64(76498.00113999998), 'pnl_gross': np.float64(1.4458545169575152), 'commission': np.float64(0.08813978990715884)}, {'type': 'sl_remaining', 'contracts': np.float64(0.001536245628969278), 'exit_price': np.float64(77125.441826), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.05924181144375842)}]",tp1_partial_then_sl
