symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
BTCUSDT,2026-04-15T18:00:00+00:00,bullish,74242.54,74257.388508,73585.92322,75227.46516999998,0.0022844375070646345,1.1593,"['be_50%@8010', {'type': 'tp1', 'contracts': np.float64(0.0013706625042387806), 'price': np.float64(75227.46516999998), 'pnl': np.float64(1.3296477068405066), 'comm': np.float64(0.051555732898723915)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009137750028258538), 'price': np.float64(74257.38850799999), 'pnl': np.float64(0.0), 'comm': np.float64(0.03392727269686911)}]",tp1_partial_then_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=62.82741893065719 WR=-8.523872477840248 ST=bearish Veto=False,94
BTCUSDT,2026-04-25T21:00:00+00:00,bullish,77507.78,77523.281556,77039.40242,78210.34637,0.003239672995860605,2.8635,"['be_50%@11006', {'type': 'tp1', 'contracts': np.float64(0.001943803797516363), 'price': np.float64(78210.34637), 'pnl': np.float64(1.335519194593069), 'comm': np.float64(0.07601278413953806)}, {'type': 'tp2', 'contracts': np.float64(0.0012958691983442421), 'price': np.float64(78897.411184), 'pnl': np.float64(1.7806922594574253), 'comm': np.float64(0.051120362491223065)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=44.02119031917131 WR=-6.733752620544097 ST=bullish Veto=False,95
BTCUSDT,2026-05-16T23:00:00+00:00,bearish,78156.68,78141.048664,78464.94666,77694.28000999999,0.005061665594295012,-0.3955,"['be_50%@17003', {'type': 'sl_full', 'contracts': np.float64(0.005061665594295012), 'price': np.float64(78141.048664), 'pnl': np.float64(0.0), 'comm': np.float64(0.19776192876235052)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=63.15973352740503 WR=-99.99302309356398 ST=bearish Veto=False,100
BTCUSDT,2026-06-07T20:00:00+00:00,bullish,61495.41,61507.709082,61061.632,62146.07700000001,0.0017917113003971964,1.4903,"['be_50%@23284', {'type': 'tp1', 'contracts': np.float64(0.0010750267802383177), 'price': np.float64(62146.07700000001), 'pnl': np.float64(0.6862626074949901), 'comm': np.float64(0.033404348530876295)}, {'type': 'tp2', 'contracts': np.float64(0.0007166845201588786), 'price': np.float64(62784.44491800002), 'pnl': np.float64(0.9150168099933202), 'comm': np.float64(0.022498319889749197)}]",tp2_reached,Fib=0.0-0.25 Sig=LONG Phase=compressing CI=41.47954971033203 WR=-67.56753941969178 ST=bearish Veto=False,100
ETHUSDT,2026-04-02T21:00:00+00:00,bearish,2066.42,2066.006716,2078.3083199999996,2045.0210240000008,0.06631567831841693,0.6984,"['be_50%@4301', {'type': 'tp1', 'contracts': np.float64(0.03978940699105016), 'price': np.float64(2045.0210240000008), 'pnl': np.float64(0.8350082399768062), 'comm': np.float64(0.04068508691459509)}, {'type': 'sl_rem', 'contracts': np.float64(0.026526271327366777), 'price': np.float64(2066.0067160000003), 'pnl': np.float64(0.0), 'comm': np.float64(0.027401727356389002)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=50.113360912039404 WR=-59.0839694656476 ST=bullish Veto=False,100
ETHUSDT,2026-04-02T23:00:00+00:00,bearish,2059.95,2059.53801,2075.75322,2031.5042039999994,0.0502188878703975,-0.1034,"['be_50%@4341', {'type': 'sl_full', 'contracts': np.float64(0.0502188878703975), 'price': np.float64(2059.5380099999998), 'pnl': np.float64(0.0), 'comm': np.float64(0.051713854194505804)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=57.34660282606354 WR=-43.77192982456313 ST=bearish Veto=False,91
ETHUSDT,2026-04-03T04:00:00+00:00,bullish,2055.49,2055.901098,2036.57868,2089.5303759999993,0.08384866052272712,-0.1724,"['be_50%@4411', {'type': 'sl_full', 'contracts': np.float64(0.08384866052272712), 'price': np.float64(2055.901098), 'pnl': np.float64(0.0), 'comm': np.float64(0.08619227661725197)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=57.57670035275299 WR=-23.47354138398974 ST=bearish Veto=False,95
ETHUSDT,2026-04-03T07:00:00+00:00,bullish,2063.15,2063.56263,2043.2552999999998,2098.9604600000007,0.07957411181963511,-0.1642,"['be_50%@4470', {'type': 'sl_full', 'contracts': np.float64(0.07957411181963511), 'price': np.float64(2063.56263), 'pnl': np.float64(0.0), 'comm': np.float64(0.08210308173322015)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=49.77306120904893 WR=-29.750644883920927 ST=bearish Veto=False,95
ETHUSDT,2026-04-24T01:00:00+00:00,bearish,2327.39,2326.924522,2342.175,2300.776999999999,0.05345417619093972,0.7147,"['be_50%@10408', {'type': 'tp1', 'contracts': np.float64(0.03207250571456383), 'price': np.float64(2300.776999999999), 'pnl': np.float64(0.8386165487667048), 'comm': np.float64(0.0368958417402185)}, {'type': 'sl_rem', 'contracts': np.float64(0.02138167047637589), 'price': np.float64(2326.924522), 'pnl': np.float64(0.0), 'comm': np.float64(0.024876766676401235)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=63.36442812282665 WR=-93.43807763401085 ST=bullish Veto=False,100
ETHUSDT,2026-04-24T03:00:00+00:00,bearish,2318.93,2318.466214,2340.672,2279.7943999999993,0.03659644398677658,-0.8979,"[{'type': 'sl_full', 'contracts': np.float64(0.03659644398677658), 'price': 2340.672, 'pnl': np.float64(-0.8126528035313473), 'comm': np.float64(0.04283013586970816)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=56.46229495416513 WR=-80.9242871189788 ST=bearish Veto=False,95
