symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
BTCUSDT,2026-03-29T12:00:00+00:00,bearish,66797.37,66784.010526,67121.98602,66310.44597,0.004620844035978243,-0.3086,"['be_50%@3037', {'type': 'sl_full', 'contracts': np.float64(0.004620844035978243), 'price': np.float64(66784.010526), 'pnl': np.float64(0.0), 'comm': np.float64(0.15429924836888764)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=45.45636602072883 WR=-38.91724166088254 ST=bullish Veto=False,100
BTCUSDT,2026-04-15T18:00:00+00:00,bullish,74242.54,74257.388508,73585.92322,75227.46516999998,0.0022773877672589192,1.1558,"['be_50%@8010', {'type': 'tp1', 'contracts': np.float64(0.0013664326603553515), 'price': np.float64(75227.46516999998), 'pnl': np.float64(1.3255444340052884), 'comm': np.float64(0.05139663268201631)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009109551069035678), 'price': np.float64(74257.38850799999), 'pnl': np.float64(0.0), 'comm': np.float64(0.03382257364334244)}]",tp1_partial_then_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=62.82741893065719 WR=-8.523872477840248 ST=bearish Veto=False,94
BTCUSDT,2026-04-25T21:00:00+00:00,bullish,77507.78,77523.281556,77039.40242,78210.34637,0.003229675413696159,2.8547,"['be_50%@11006', {'type': 'tp1', 'contracts': np.float64(0.0019378052482176952), 'price': np.float64(78210.34637), 'pnl': np.float64(1.3313978024349098), 'comm': np.float64(0.07577820983035488)}, {'type': 'tp2', 'contracts': np.float64(0.0012918701654784637), 'price': np.float64(78897.411184), 'pnl': np.float64(1.7751970699132136), 'comm': np.float64(0.05096260582104824)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=44.02119031917131 WR=-6.733752620544097 ST=bullish Veto=False,95
BTCUSDT,2026-05-16T20:00:00+00:00,bearish,78300.0,78284.34,78484.4055,78023.39175000001,0.008435364197541744,2.4229,"['be_50%@16990', {'type': 'tp1', 'contracts': np.float64(0.005061218518525046), 'price': np.float64(78023.39175000001), 'pnl': np.float64(1.3207161152766362), 'comm': np.float64(0.19744671760161717)}, {'type': 'tp2', 'contracts': np.float64(0.0033741456790166977), 'price': np.float64(77762.44350000002), 'pnl': np.float64(1.7609548203688485), 'comm': np.float64(0.1311909063626526)}]",tp2_reached,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=64.92026012287518 WR=-13.297727889926835 ST=bullish Veto=False,100
BTCUSDT,2026-05-16T21:00:00+00:00,bearish,78285.96,78270.302808,78484.4055,77988.29175000003,0.00802170054404645,0.7301,"['be_50%@16990', {'type': 'tp1', 'contracts': np.float64(0.004813020326427869), 'price': np.float64(77988.29175000003), 'pnl': np.float64(1.3573249544313064), 'comm': np.float64(0.18767961670806854)}, {'type': 'sl_rem', 'contracts': np.float64(0.00320868021761858), 'price': np.float64(78270.30280800001), 'pnl': np.float64(0.0), 'comm': np.float64(0.1255721861235228)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=63.85543049808739 WR=-28.063308373038446 ST=bullish Veto=False,100
BTCUSDT,2026-05-16T23:00:00+00:00,bearish,78156.68,78141.048664,78464.94666,77694.28000999999,0.0051994676154981725,-0.4063,"['be_50%@17003', {'type': 'sl_full', 'contracts': np.float64(0.0051994676154981725), 'price': np.float64(78141.048664), 'pnl': np.float64(0.0), 'comm': np.float64(0.20314592598476738)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=63.15973352740503 WR=-99.99302309356398 ST=bearish Veto=False,100
BTCUSDT,2026-05-19T00:00:00+00:00,bearish,76981.45,76966.05371,77377.23558,76387.77163,0.002689550804804127,-1.3135,"[{'type': 'sl_full', 'contracts': np.float64(0.002689550804804127), 'price': 77377.23558, 'pnl': np.float64(-1.105894529379367), 'comm': np.float64(0.10405500311385377)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=59.94977161137146 WR=-84.59833010991291 ST=bullish Veto=False,89
BTCUSDT,2026-05-19T02:00:00+00:00,bearish,76546.83,76531.520634,77569.44924,75012.90114,0.0015421442334716394,-1.7195,"[{'type': 'sl_full', 'contracts': np.float64(0.0015421442334716394), 'price': 77569.44924, 'pnl': np.float64(-1.6006356144981593), 'comm': np.float64(0.059811639419518524)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=40.163027416339716 WR=-91.85656512677528 ST=bearish Veto=False,100
BTCUSDT,2026-05-19T03:00:00+00:00,bearish,76618.6,76603.27628,77466.8745,75346.18825,0.0018286939963068588,-1.7201,"[{'type': 'sl_full', 'contracts': np.float64(0.0018286939963068588), 'price': 77466.8745, 'pnl': np.float64(-1.5792568801352895), 'comm': np.float64(0.07083160415540346)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=45.170213276911106 WR=-74.33366045142216 ST=bearish Veto=False,100
BTCUSDT,2026-05-29T01:00:00+00:00,bearish,73786.0,73771.2428,74016.06666,73440.90001000001,0.0066303936801192,0.8257,"['be_50%@20465', {'type': 'tp1', 'contracts': np.float64(0.00397823620807152), 'price': np.float64(73440.90001000001), 'pnl': np.float64(1.314181648253347), 'comm': np.float64(0.14608262378657105)}, {'type': 'sl_rem', 'contracts': np.float64(0.00265215747204768), 'price': np.float64(73771.2428), 'pnl': np.float64(0.0), 'comm': np.float64(0.09782647640713182)}]",tp1_partial_then_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=53.34248394655865 WR=-24.036209849360013 ST=bullish Veto=False,100
