symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
LTCUSDT,2026-03-25T04:00:00+00:00,bullish,56.25,56.26125,55.84808,56.933263999999994,3.732085987261175,-0.21,"['be_50%@1819', {'type': 'sl_full', 'contracts': np.float64(3.732085987261175), 'price': np.float64(56.26125), 'pnl': np.float64(0.0), 'comm': np.float64(0.1049859113753989)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=35.46028135587888 WR=-14.7058823529405 ST=bullish Veto=False,96
LTCUSDT,2026-03-25T07:00:00+00:00,bullish,56.49,56.501298,56.147479999999995,57.07228400000002,4.37011100857966,-1.7924,"[{'type': 'sl_full', 'contracts': np.float64(4.37011100857966), 'price': 56.147479999999995, 'pnl': np.float64(-1.5462239368336554), 'comm': np.float64(0.12268536022600314)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=56.65006002254357 WR=-13.636363636363782 ST=bullish Veto=False,97
LTCUSDT,2026-03-29T01:00:00+00:00,bullish,53.94,53.950788,53.53272,54.632376,3.6092243815555056,-0.1947,"['be_50%@2919', {'type': 'sl_full', 'contracts': np.float64(3.6092243815555056), 'price': np.float64(53.950787999999996), 'pnl': np.float64(0.0), 'comm': np.float64(0.09736024972686609)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=47.38124812614086 WR=-8.695652173914253 ST=bearish Veto=False,95
LTCUSDT,2026-03-29T02:00:00+00:00,bullish,54.03,54.040806,53.622539999999994,54.72268200000001,3.600461637039449,-0.1946,"['be_50%@2919', {'type': 'sl_full', 'contracts': np.float64(3.600461637039449), 'price': np.float64(54.040806), 'pnl': np.float64(0.0), 'comm': np.float64(0.09728592441884563)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=52.332035444644276 WR=-33.333333333332455 ST=bullish Veto=False,95
LTCUSDT,2026-03-29T03:00:00+00:00,bullish,54.14,54.150828,53.71236,54.866988000000006,3.423733796874806,-1.6858,"[{'type': 'sl_full', 'contracts': np.float64(3.423733796874806), 'price': 53.71236, 'pnl': np.float64(-1.5011977104481036), 'comm': np.float64(0.09194841112095323)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=44.85579315478468 WR=-15.789473684210723 ST=bullish Veto=False,95
LTCUSDT,2026-04-01T02:00:00+00:00,bullish,54.03,54.040806,53.75228,54.502124,2.590446932022118,0.5767,"['be_50%@3809', {'type': 'tp1', 'contracts': np.float64(1.5542681592132708), 'price': np.float64(54.502124), 'pnl': np.float64(0.7170118786719454), 'comm': np.float64(0.04235545797134672)}, {'type': 'sl_rem', 'contracts': np.float64(1.0361787728088474), 'price': np.float64(54.040806), 'pnl': np.float64(0.0), 'comm': np.float64(0.0279979680213405)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=62.67912685296453 WR=-53.84615384615301 ST=bullish Veto=False,95
LTCUSDT,2026-04-01T03:00:00+00:00,bullish,53.95,53.96079,53.722339999999996,54.33702200000002,2.119370694473804,-0.1144,"['be_50%@3781', {'type': 'sl_full', 'contracts': np.float64(2.119370694473804), 'price': np.float64(53.96079), 'pnl': np.float64(0.0), 'comm': np.float64(0.057181458488327556)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=64.95773905751415 WR=-49.99999999999852 ST=bullish Veto=False,85
LTCUSDT,2026-04-25T12:00:00+00:00,bullish,56.24,56.251248,56.06764,56.533012000000014,8.3880967344922,0.9455,"['be_50%@10816', {'type': 'tp1', 'contracts': np.float64(5.032858040695319), 'price': np.float64(56.533012000000014), 'pnl': np.float64(1.4180782129785245), 'comm': np.float64(0.14226131200446251)}, {'type': 'sl_rem', 'contracts': np.float64(3.35523869379688), 'price': np.float64(56.251248000000004), 'pnl': np.float64(0.0), 'comm': np.float64(0.09436818193198218)}]",tp1_partial_then_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=44.81507061656247 WR=-77.77777777777719 ST=bearish Veto=False,100
LTCUSDT,2026-04-25T13:00:00+00:00,bullish,56.3,56.31126,56.05766,56.711977999999995,6.024409000248845,-0.3392,"['be_50%@10838', {'type': 'sl_full', 'contracts': np.float64(6.024409000248845), 'price': np.float64(56.31126), 'pnl': np.float64(0.0), 'comm': np.float64(0.16962103077967638)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=47.3310384579067 WR=-35.00000000000089 ST=bearish Veto=False,100
LTCUSDT,2026-04-27T07:00:00+00:00,bearish,55.48,55.468904,56.47864,53.78231199999999,0.7284239797108604,-0.7763,"[{'type': 'sl_full', 'contracts': np.float64(0.7284239797108604), 'price': np.float64(56.47864), 'pnl': np.float64(-0.735515915577328), 'comm': np.float64(0.020570197858728493)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=20.50470700991603 WR=-29.41176470588309 ST=bearish Veto=False,100
LTCUSDT,2026-05-02T22:00:00+00:00,bullish,55.3,55.31106,54.939899999999994,55.91217,2.6718917298839973,-1.139,"[{'type': 'sl_full', 'contracts': np.float64(2.6718917298839973), 'price': 54.939899999999994, 'pnl': np.float64(-0.9916993344637531), 'comm': np.float64(0.0733967322253269)}]",full_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=52.529907007439064 WR=-35.89743589743599 ST=bullish Veto=False,80
LTCUSDT,2026-05-07T06:00:00+00:00,bullish,56.68,56.691336,56.05766,57.737978,2.2915729153969284,-0.1299,"['be_50%@14247', {'type': 'sl_full', 'contracts': np.float64(2.2915729153969284), 'price': np.float64(56.691336), 'pnl': np.float64(0.0), 'comm': np.float64(0.06495616505763342)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=45.07609795075124 WR=-37.49999999999917 ST=bullish Veto=False,100
LTCUSDT,2026-05-07T07:00:00+00:00,bullish,56.99,57.001398,56.31714,58.133862,2.116619806819247,-1.5682,"[{'type': 'sl_full', 'contracts': np.float64(2.116619806819247), 'price': 56.31714, 'pnl': np.float64(-1.448314035774524), 'comm': np.float64(0.059600986993706244)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=34.46971320202685 WR=-7.9999999999998295 ST=bullish Veto=False,100
LTCUSDT,2026-05-08T04:00:00+00:00,bullish,56.43,56.441286,55.947880000000005,57.24960399999999,1.9368140721738933,2.0814,"['be_50%@14571', {'type': 'tp1', 'contracts': np.float64(1.162088443304336), 'price': np.float64(57.24960399999999), 'pnl': np.float64(0.9393370063148658), 'comm': np.float64(0.03326455159607484)}, {'type': 'tp2', 'contracts': np.float64(0.7747256288695574), 'price': np.float64(58.057921999999984), 'pnl': np.float64(1.2524493417531546), 'comm': np.float64(0.02248948006615485)}]",tp2_reached,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=49.91560716966271 WR=-22.916666666666696 ST=bearish Veto=False,80
