symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
BTCUSDT,2026-04-15T04:00:00+00:00,bearish,74418.47,74403.586306,74897.2956,73700.2316,0.0015663322930102432,0.5448,"['be_50%@7841', {'type': 'tp1', 'contracts': np.float64(0.0009397993758061458), 'price': np.float64(73700.2316), 'pnl': np.float64(0.6610123136691136), 'comm': np.float64(0.03463171582722419)}, {'type': 'sl_rem', 'contracts': np.float64(0.0006265329172040974), 'price': np.float64(74403.586306), 'pnl': np.float64(0.0), 'comm': np.float64(0.023308147989372505)}]",tp1_partial_then_sl,Fib=0.75-1.0 Sig=SHORT Phase=compressing CI=52.222356190259475 WR=-6.151250191744869 ST=bullish Veto=False,95
BTCUSDT,2026-04-15T05:00:00+00:00,bearish,74345.98,74331.110804,74583.37902,73989.88147,0.003176449572534471,1.2821,"['be_50%@7840', {'type': 'tp1', 'contracts': np.float64(0.0019058697435206824), 'price': np.float64(73989.88147), 'pnl': np.float64(0.6503386632723196), 'comm': np.float64(0.07050753821017729)}, {'type': 'tp2', 'contracts': np.float64(0.0012705798290137884), 'price': np.float64(73648.65213599999), 'pnl': np.float64(0.8671182176964262), 'comm': np.float64(0.04678824591902742)}]",tp2_reached,Fib=0.75-1.0 Sig=SHORT Phase=compressing CI=50.77930257841417 WR=-51.16158113731051 ST=bullish Veto=False,95
BTCUSDT,2026-04-15T06:00:00+00:00,bearish,73935.99,73921.202802,74583.37902,72964.90647000002,0.0011796644542737711,-0.8687,"[{'type': 'sl_full', 'contracts': np.float64(0.0011796644542737711), 'price': 74583.37902, 'pnl': np.float64(-0.7811457468400317), 'comm': np.float64(0.04399168055476106)}]",full_sl,Fib=0.75-1.0 Sig=SHORT Phase=compressing CI=49.14010583816165 WR=-87.37170827558207 ST=bearish Veto=False,100
BTCUSDT,2026-04-15T18:00:00+00:00,bullish,74242.54,74257.388508,73585.92322,75227.46516999998,0.0023063263048746637,1.1705,"['be_50%@8010', {'type': 'tp1', 'contracts': np.float64(0.0013837957829247983), 'price': np.float64(75227.46516999998), 'pnl': np.float64(1.3423879939893542), 'comm': np.float64(0.05204972453118406)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009225305219498656), 'price': np.float64(74257.38850799999), 'pnl': np.float64(0.0), 'comm': np.float64(0.03425235368945959)}]",tp1_partial_then_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=62.82741893065719 WR=-8.523872477840248 ST=bearish Veto=False,94
BTCUSDT,2026-04-25T21:00:00+00:00,bullish,77507.78,77523.281556,77039.40242,78210.34637,0.0032707145747865787,2.8909,"['be_50%@11006', {'type': 'tp1', 'contracts': np.float64(0.001962428744871947), 'price': np.float64(78210.34637), 'pnl': np.float64(1.348315740583693), 'comm': np.float64(0.07674111593143967)}, {'type': 'tp2', 'contracts': np.float64(0.0013082858299146316), 'price': np.float64(78897.411184), 'pnl': np.float64(1.7977543207782576), 'comm': np.float64(0.05161018253448769)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=44.02119031917131 WR=-6.733752620544097 ST=bullish Veto=False,95
BTCUSDT,2026-04-28T17:00:00+00:00,bullish,76091.06,76106.278212,75539.67788,76918.13317999999,0.0028569905112287553,3.0282,"['be_50%@11818', {'type': 'tp1', 'contracts': np.float64(0.001714194306737253), 'price': np.float64(76918.13317999999), 'pnl': np.float64(1.391677164041954), 'comm': np.float64(0.0659263129910069)}, {'type': 'tp2', 'contracts': np.float64(0.0011427962044915022), 'price': np.float64(77729.98814799999), 'pnl': np.float64(1.8555695520559392), 'comm': np.float64(0.044414767715351924)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=52.361077644099055 WR=-38.178174638258405 ST=bearish Veto=False,95
BTCUSDT,2026-04-28T18:00:00+00:00,bullish,76239.03,76254.277806,75729.51744,77003.29884,0.0031809153194806796,3.0914,"['be_50%@11830', {'type': 'tp1', 'contracts': np.float64(0.0019085491916884076), 'price': np.float64(77003.29884), 'pnl': np.float64(1.4295434889983245), 'comm': np.float64(0.07348229187921144)}, {'type': 'tp2', 'contracts': np.float64(0.001272366127792272), 'price': np.float64(77752.31987400001), 'pnl': np.float64(1.9060579853311), 'comm': np.float64(0.04946470908247375)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=54.57908977821477 WR=-7.773898148760026 ST=bearish Veto=False,95
BTCUSDT,2026-04-28T19:00:00+00:00,bullish,76168.01,76183.243602,75737.222,76814.192,0.0025799030871627104,2.0812,"['be_50%@11818', {'type': 'tp1', 'contracts': np.float64(0.001547941852297626), 'price': np.float64(76814.192), 'pnl': np.float64(0.9766714319043518), 'comm': np.float64(0.059451951323612744)}, {'type': 'tp2', 'contracts': np.float64(0.0010319612348650843), 'price': np.float64(77445.140398), 'pnl': np.float64(1.3022285758724692), 'comm': np.float64(0.039960191359709955)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=63.03247880654419 WR=-69.8206555349479 ST=bearish Veto=False,85
BTCUSDT,2026-04-30T15:00:00+00:00,bullish,76268.88,76284.133776,75941.62238,76759.76643000002,0.0025947526665004265,-0.1979,"['be_50%@12282', {'type': 'sl_full', 'contracts': np.float64(0.0025947526665004265), 'price': np.float64(76284.133776), 'pnl': np.float64(0.0), 'comm': np.float64(0.09896922976347562)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=57.30536644595562 WR=-65.2432003176478 ST=bullish Veto=False,95
BTCUSDT,2026-05-16T20:00:00+00:00,bearish,78300.0,78284.34,78484.4055,78023.39175000001,0.009193522358944516,2.6406,"['be_50%@16990', {'type': 'tp1', 'contracts': np.float64(0.005516113415366709), 'price': np.float64(78023.39175000001), 'pnl': np.float64(1.4394201425413926), 'comm': np.float64(0.21519293897229363)}, {'type': 'tp2', 'contracts': np.float64(0.0036774089435778062), 'price': np.float64(77762.44350000002), 'pnl': np.float64(1.9192268567218569), 'comm': np.float64(0.14298215260068195)}]",tp2_reached,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=64.92026012287518 WR=-13.297727889926835 ST=bullish Veto=False,100
