symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
BTCUSDT,2024-07-27T04:00:00+00:00,bullish,67806.04,67819.601208,67494.74,68272.98999999998,0.0024092515258593897,1.3651,"['be_50%@7569', {'type': 'tp1', 'contracts': np.float64(0.0014455509155156339), 'price': np.float64(68272.98999999998), 'pnl': np.float64(0.6553965833601033), 'comm': np.float64(0.049346041599744844)}, {'type': 'tp2', 'contracts': np.float64(0.000963700610343756), 'price': np.float64(68726.37879199996), 'pnl': np.float64(0.8738621111468043), 'comm': np.float64(0.03311582659428326)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=50.02062172327122 WR=-89.29543686803295 ST=bullish Veto=False,100
BTCUSDT,2024-07-27T05:00:00+00:00,bullish,67916.01,67929.593202,67637.46398,68333.82903,0.0027293093145111576,-0.1854,"['be_50%@7572', {'type': 'sl_full', 'contracts': np.float64(0.0027293093145111576), 'price': np.float64(67929.59320199999), 'pnl': np.float64(0.0), 'comm': np.float64(0.09270043572858619)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=47.28467318743359 WR=-8.242324335462799 ST=bullish Veto=False,100
BTCUSDT,2024-07-27T06:00:00+00:00,bullish,67935.0,67948.587,67637.46398,68381.30403,0.002550439911006634,-0.1733,"['be_50%@7573', {'type': 'sl_full', 'contracts': np.float64(0.002550439911006634), 'price': np.float64(67948.587), 'pnl': np.float64(0.0), 'comm': np.float64(0.08664939409065327)}]",full_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=56.600437166303074 WR=-45.671858022456775 ST=bullish Veto=False,100
BTCUSDT,2024-08-06T12:00:00+00:00,bullish,55300.0,55311.06,54758.62328,56112.06508,0.0009328661188813918,-0.5667,"[{'type': 'sl_full', 'contracts': np.float64(0.0009328661188813918), 'price': 54758.62328, 'pnl': np.float64(-0.5153494989139642), 'comm': np.float64(0.025541232187250913)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=trending CI=68.75870453683561 WR=-18.939322804183917 ST=bearish Veto=False,85
BTCUSDT,2024-08-15T09:00:00+00:00,bullish,58424.2,58435.88484,57598.45224,59662.821639999995,0.0018245228474453848,1.2359,"['be_50%@13111', {'type': 'tp1', 'contracts': np.float64(0.0010947137084672308), 'price': np.float64(59662.821639999995), 'pnl': np.float64(1.3431445343829125), 'comm': np.float64(0.032656854367571674)}, {'type': 'sl_rem', 'contracts': np.float64(0.000729809138978154), 'price': np.float64(58435.88484), 'pnl': np.float64(0.0), 'comm': np.float64(0.02132352140025348)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=51.041536188143674 WR=-13.20572896984349 ST=bearish Veto=False,95
BTCUSDT,2024-08-15T10:00:00+00:00,bullish,58411.99,58423.672398,57848.9203,59256.594549999994,0.0027086051419097173,1.1947,"['be_50%@13102', {'type': 'tp1', 'contracts': np.float64(0.0016251630851458303), 'price': np.float64(59256.594549999994), 'pnl': np.float64(1.353634334230623), 'comm': np.float64(0.04815081500705679)}, {'type': 'sl_rem', 'contracts': np.float64(0.001083442056763887), 'price': np.float64(58423.672397999995), 'pnl': np.float64(0.0), 'comm': np.float64(0.03164933189329432)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=42.20160063649824 WR=-55.229596872903386 ST=bearish Veto=False,95
BTCUSDT,2024-08-18T06:00:00+00:00,bullish,59480.0,59491.896,59138.046879999994,59992.92968000001,0.004512472784390716,1.0874,"['be_50%@13933', {'type': 'tp1', 'contracts': np.float64(0.002707483670634429), 'price': np.float64(59992.92968000001), 'pnl': np.float64(1.3565405070378969), 'comm': np.float64(0.08121493873105981)}, {'type': 'sl_rem', 'contracts': np.float64(0.0018049891137562864), 'price': np.float64(59491.896), 'pnl': np.float64(0.0), 'comm': np.float64(0.05369111231836058)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=LONG Phase=compressing CI=45.15144163233503 WR=-74.66264812658319 ST=bullish Veto=False,95
BTCUSDT,2024-08-19T15:00:00+00:00,bullish,58605.35,58617.07107,57913.710459999995,59642.809310000004,0.0015030615973414877,2.0693,"['be_50%@14322', {'type': 'tp1', 'contracts': np.float64(0.0009018369584048926), 'price': np.float64(59642.809310000004), 'pnl': np.float64(0.9250486544811932), 'comm': np.float64(0.026894044869426707)}, {'type': 'tp2', 'contracts': np.float64(0.0006012246389365951), 'price': np.float64(60668.54755000001), 'pnl': np.float64(1.2333982059749242), 'comm': np.float64(0.0182377127977782)}]",tp2_reached,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=55.34213172298959 WR=-15.212903845230612 ST=bearish Veto=False,80
BTCUSDT,2024-09-01T20:00:00+00:00,bearish,58530.24,58518.533952,58906.50786,57965.83821,0.004226787231292318,3.0249,"['be_50%@18112', {'type': 'tp1', 'contracts': np.float64(0.0025360723387753904), 'price': np.float64(57965.83821), 'pnl': np.float64(1.4016763830451302), 'comm': np.float64(0.0735027794391553)}, {'type': 'tp2', 'contracts': np.float64(0.0016907148925169272), 'price': np.float64(57413.142468000005), 'pnl': np.float64(1.868901844060174), 'comm': np.float64(0.04853462749842183)}]",tp2_reached,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=43.97733347753182 WR=-50.67494824016605 ST=bullish Veto=False,100
BTCUSDT,2024-09-01T21:00:00+00:00,bearish,58404.01,58392.329198,58892.55,57671.2,0.0033482973923433723,1.2539,"['be_50%@18123', {'type': 'tp1', 'contracts': np.float64(0.002008978435406023), 'price': np.float64(57671.2), 'pnl': np.float64(1.4487330079236596), 'comm': np.float64(0.05793009857199392)}, {'type': 'sl_rem', 'contracts': np.float64(0.001339318956937349), 'price': np.float64(58392.32919800001), 'pnl': np.float64(0.0), 'comm': np.float64(0.03910297671730384)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=47.230702593012104 WR=-91.68933870207 ST=bullish Veto=False,100
BTCUSDT,2024-09-03T10:00:00+00:00,bearish,58925.59,58913.804882,59258.6307,58426.02894999999,0.003312080366189529,-1.3378,"[{'type': 'sl_full', 'contracts': np.float64(0.003312080366189529), 'price': 59258.6307, 'pnl': np.float64(-1.1420908215530599), 'comm': np.float64(0.09813467363437303)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=51.86466689224481 WR=-20.117647058825487 ST=bearish Veto=False,85
BTCUSDT,2024-09-03T11:00:00+00:00,bearish,59050.01,59038.199998,59314.021259999994,58653.99311000001,0.004127398476784499,-1.3827,"[{'type': 'sl_full', 'contracts': np.float64(0.004127398476784499), 'price': 59314.021259999994, 'pnl': np.float64(-1.1384242566435385), 'comm': np.float64(0.12240630050024369)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=52.262963479596 WR=-40.58980934329286 ST=bullish Veto=False,80
BTCUSDT,2024-09-06T05:00:00+00:00,bearish,56655.76,56644.428848,56960.694,56198.359,0.0052922255107142645,3.0069,"['be_50%@19360', {'type': 'tp1', 'contracts': np.float64(0.003175335306428559), 'price': np.float64(56198.359), 'pnl': np.float64(1.416421337487641), 'comm': np.float64(0.08922431674802357)}, {'type': 'tp2', 'contracts': np.float64(0.0021168902042857057), 'price': np.float64(55752.28915199999), 'pnl': np.float64(1.8885617833168546), 'comm': np.float64(0.0590107373861865)}]",tp2_reached,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=63.37149166686026 WR=-52.38474219771453 ST=bearish Veto=False,95
BTCUSDT,2024-09-06T06:00:00+00:00,bearish,56455.99,56444.698802,56872.518000000004,55831.19799999999,0.003982643187729905,1.2419,"['be_50%@19383', {'type': 'tp1', 'contracts': np.float64(0.0023895859126379427), 'price': np.float64(55831.19799999999), 'pnl': np.float64(1.4660128738513027), 'comm': np.float64(0.06670672211324982)}, {'type': 'sl_rem', 'contracts': np.float64(0.001593057275091962), 'price': np.float64(56444.698802), 'pnl': np.float64(0.0), 'comm': np.float64(0.044959819033450324)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=49.96727356620676 WR=-56.59463991129669 ST=bearish Veto=False,100
BTCUSDT,2024-09-25T04:00:00+00:00,bearish,64396.81,64383.930638,64743.21798,63877.19802999999,0.002421294687662192,1.5627,"['be_50%@24840', {'type': 'tp1', 'contracts': np.float64(0.0014527768125973152), 'price': np.float64(63877.19802999999), 'pnl': np.float64(0.7361693830893731), 'comm': np.float64(0.046399656075835446)}, {'type': 'tp2', 'contracts': np.float64(0.0009685178750648768), 'price': np.float64(63370.46542199999), 'pnl': np.float64(0.9815591774524974), 'comm': np.float64(0.03068771425619384)}]",tp2_reached,Fib=0.75-1.0 Sig=SHORT Phase=compressing CI=46.162078700711845 WR=-27.418132839464995 ST=bullish Veto=False,95
BTCUSDT,2024-09-25T07:00:00+00:00,bearish,63841.29,63828.521742,64442.127,62940.0345,0.0014154854210123241,-0.0903,"['be_50%@24932', {'type': 'sl_full', 'contracts': np.float64(0.0014154854210123241), 'price': np.float64(63828.521742000004), 'pnl': np.float64(0.0), 'comm': np.float64(0.04517417098528458)}]",full_sl,Fib=0.75-1.0 Sig=SHORT Phase=compressing CI=29.093087691122932 WR=-70.49820429299227 ST=bearish Veto=False,95
ETHUSDT,2024-07-06T06:00:00+00:00,bullish,2975.56,2976.155112,2955.7267,3011.2599399999995,0.05712940030756429,2.6363,"['be_50%@1519', {'type': 'tp1', 'contracts': np.float64(0.03427764018453857), 'price': np.float64(3011.2599399999995), 'pnl': np.float64(1.203310662924099), 'comm': np.float64(0.0516094423627176)}, {'type': 'tp2', 'contracts': np.float64(0.022851760123025717), 'price': np.float64(3046.364767999999), 'pnl': np.float64(1.6044142172321323), 'comm': np.float64(0.03480739846278643)}]",tp2_reached,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=61.48593410926365 WR=-16.955223880597885 ST=bearish Veto=False,85
