symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
BTCUSDT,2026-03-29T12:00:00+00:00,bearish,66797.37,66784.010526,67121.98602,66310.44597,0.004620844035978243,-0.3086,"['be_50%@3613', {'type': 'sl_full', 'contracts': np.float64(0.004620844035978243), 'price': np.float64(66784.010526), 'pnl': np.float64(0.0), 'comm': np.float64(0.15429924836888764)}]",full_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=45.45636602072883 WR=-38.91724166088254 ST=bullish Veto=False,100
BTCUSDT,2026-04-25T21:00:00+00:00,bullish,77507.78,77523.281556,77039.40242,78210.34637,0.003192661404819873,2.822,"['be_50%@11582', {'type': 'tp1', 'contracts': np.float64(0.0019155968428919237), 'price': np.float64(78210.34637), 'pnl': np.float64(1.316139188560522), 'comm': np.float64(0.07490974629392791)}, {'type': 'tp2', 'contracts': np.float64(0.0012770645619279491), 'price': np.float64(78897.411184), 'pnl': np.float64(1.7548522514140295), 'comm': np.float64(0.05037854392547211)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=44.02119031917131 WR=-6.733752620544097 ST=bullish Veto=False,95
BTCUSDT,2026-05-16T22:00:00+00:00,bearish,78207.11,78191.468578,78475.57788,77804.40818,0.005727688086477195,0.883,"['be_50%@17579', {'type': 'tp1', 'contracts': np.float64(0.003436612851886317), 'price': np.float64(77804.40818), 'pnl': np.float64(1.3301767382230378), 'comm': np.float64(0.13369181454239845)}, {'type': 'sl_rem', 'contracts': np.float64(0.002291075234590878), 'price': np.float64(78191.468578), 'pnl': np.float64(0.0), 'comm': np.float64(0.08957126860767331)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=69.70356708759256 WR=-95.02440856176989 ST=bearish Veto=False,100
BTCUSDT,2026-05-16T23:00:00+00:00,bearish,78156.68,78141.048664,78464.94666,77694.28000999999,0.005031180018400413,-0.3931,"['be_50%@17579', {'type': 'sl_full', 'contracts': np.float64(0.005031180018400413), 'price': np.float64(78141.048664), 'pnl': np.float64(0.0), 'comm': np.float64(0.19657084132758557)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=63.15973352740503 WR=-99.99302309356398 ST=bearish Veto=False,100
ETHUSDT,2026-04-02T21:00:00+00:00,bearish,2066.42,2066.006716,2078.3083199999996,2045.0210240000008,0.06498176087501452,0.6844,"['be_50%@4877', {'type': 'tp1', 'contracts': np.float64(0.03898905652500871), 'price': np.float64(2045.0210240000008), 'pnl': np.float64(0.8182123316044043), 'comm': np.float64(0.03986672014978361)}, {'type': 'sl_rem', 'contracts': np.float64(0.025992704350005807), 'price': np.float64(2066.0067160000003), 'pnl': np.float64(0.0), 'comm': np.float64(0.02685055087705721)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=50.113360912039404 WR=-59.0839694656476 ST=bullish Veto=False,100
ETHUSDT,2026-04-02T23:00:00+00:00,bearish,2059.95,2059.53801,2075.75322,2031.5042039999994,0.04920875192340545,-0.1013,"['be_50%@4917', {'type': 'sl_full', 'contracts': np.float64(0.04920875192340545), 'price': np.float64(2059.5380099999998), 'pnl': np.float64(0.0), 'comm': np.float64(0.05067364750545706)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=57.34660282606354 WR=-43.77192982456313 ST=bearish Veto=False,91
ETHUSDT,2026-04-24T01:00:00+00:00,bearish,2327.39,2326.924522,2342.175,2300.776999999999,0.052546271752344484,0.7025,"['be_50%@10984', {'type': 'tp1', 'contracts': np.float64(0.03152776305140669), 'price': np.float64(2300.776999999999), 'pnl': np.float64(0.8243728779974645), 'comm': np.float64(0.036269176045063155)}, {'type': 'sl_rem', 'contracts': np.float64(0.021018508700937796), 'price': np.float64(2326.924522), 'pnl': np.float64(0.0), 'comm': np.float64(0.024454241656041258)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=63.36442812282665 WR=-93.43807763401085 ST=bearish Veto=False,100
ETHUSDT,2026-04-24T03:00:00+00:00,bearish,2318.93,2318.466214,2340.672,2279.7943999999993,0.035974863479882005,-0.8827,"[{'type': 'sl_full', 'contracts': np.float64(0.035974863479882005), 'price': 2340.672, 'pnl': np.float64(-0.7988501198134748), 'comm': np.float64(0.04210267782559119)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=56.46229495416513 WR=-80.9242871189788 ST=bearish Veto=False,100
ETHUSDT,2026-06-14T07:00:00+00:00,bearish,1676.17,1675.834766,1685.865,1658.7190000000003,0.07999438487896554,0.6879,"['be_50%@25783', {'type': 'tp1', 'contracts': np.float64(0.047996630927379325), 'price': np.float64(1658.7190000000003), 'pnl': np.float64(0.8214991037413825), 'comm': np.float64(0.039806461827615866)}, {'type': 'sl_rem', 'contracts': np.float64(0.031997753951586216), 'price': np.float64(1675.8347660000002), 'pnl': np.float64(0.0), 'comm': np.float64(0.026811474252991033)}]",tp1_partial_then_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=56.94585537558068 WR=-87.9166666666651 ST=bearish Veto=False,100
SOLUSDT,2026-03-24T12:00:00+00:00,bearish,91.66,91.641668,92.40444,90.17112,1.3982849838210032,2.752,"['be_50%@2179', {'type': 'tp1', 'contracts': np.float64(0.8389709902926019), 'price': np.float64(90.17112), 'pnl': np.float64(1.2337471118327998), 'comm': np.float64(0.03782547692109652)}, {'type': 'tp2', 'contracts': np.float64(0.5593139935284013), 'price': np.float64(88.70057200000001), 'pnl': np.float64(1.6449961491104), 'comm': np.float64(0.02480573557678675)}]",tp2_reached,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=63.90156570854381 WR=-62.96296296296342 ST=bullish Veto=False,85
