symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score,fib_low_key,fib_high_key,fib_width,phase_h1,ci_value,wr_5m,wr_15m,st_aligned,st_bias_bullish,st_bias_bearish,mom_score,mom_direction,vol_ratio_5m,body_ratio_4h,hour_of_day,direction_long
BTCUSDT,2023-04-07 04:00:00+00:00,bearish,28028.1,28021.155523,28135.28826,27867.317609999995,0.0139940698729502,0.8927,"['be_50%@1794', {'type': 'tp1', 'contracts': np.float64(0.008396441923770176), 'price': np.float64(27867.317609999995), 'pnl': np.float64(1.291691100979051), 'comm': np.float64(0.11699315694181144)}, {'type': 'sl_rem', 'contracts': np.float64(0.005597627949180118), 'price': np.float64(28022.49438), 'pnl': np.float64(-0.00749442416282482), 'comm': np.float64(0.0784297488736154)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=43.19222837016295 WR=-31.017263518335792 ST=bullish Veto=False,99,0.5,0.75,0.0144544041899359,compressing,43.19222837016295,-31.017263518335792,-40.93267235416104,0,1,0,-0.1763189402220752,bearish,0.7589901552712406,0.6724027181446257,4,0
BTCUSDT,2023-04-07 06:00:00+00:00,bearish,27984.61,27976.020792,28118.85546,27783.241810000003,0.0112733095890373,0.9757,"['be_50%@1818', {'type': 'tp1', 'contracts': np.float64(0.006763985753422382), 'price': np.float64(27783.241810000003), 'pnl': np.float64(1.3039542897398224), 'comm': np.float64(0.09396272589336455)}, {'type': 'sl_rem', 'contracts': np.float64(0.004509323835614922), 'price': np.float64(27979.013078), 'pnl': np.float64(-0.013493185294393849), 'comm': np.float64(0.06308321528480351)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=41.77619727784437 WR=-23.438879777973792 ST=bearish Veto=False,100,0.25,0.5,0.0146663982380795,compressing,41.77619727784437,-23.438879777973792,-58.010025062656425,1,0,1,-0.3585536995873358,bearish,0.5137841802712344,0.6724027181446257,6,0
XRPUSDT,2023-04-08 01:00:00+00:00,bearish,0.5082,0.507964,0.5155289999999999,0.4950078000000001,185.71737575344636,-0.1193,"['be_50%@2388', {'type': 'sl_full', 'contracts': np.float64(185.71737575344636), 'price': np.float64(0.50809836), 'pnl': np.float64(-0.02493919045832721), 'comm': np.float64(0.047181347021914934)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=45.86979567619269 WR=-80.30303030303061 ST=bearish Veto=False,80,0.5,0.75,0.0277368679430534,compressing,45.86979567619269,-80.30303030303061,-80.2631578947374,0,0,1,0.3108842620867713,bullish,0.6205699945309087,0.1639344262295085,1,0
XRPUSDT,2023-04-08 02:00:00+00:00,bearish,0.5102,0.509997,0.5148276,0.5018703199999999,293.87366080644495,1.272,"['be_50%@2230', {'type': 'tp1', 'contracts': np.float64(176.32419648386696), 'price': np.float64(0.5018703199999999), 'pnl': np.float64(1.4329736464555307), 'comm': np.float64(0.04424594045655058)}, {'type': 'sl_rem', 'contracts': np.float64(117.54946432257799), 'price': np.float64(0.51009796), 'pnl': np.float64(-0.011838910335339016), 'comm': np.float64(0.029980870975019905)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=44.66197013285382 WR=-25.0 ST=bearish Veto=False,80,0.5,0.75,0.0277368679430534,compressing,44.66197013285382,-25.0,-56.57894736842111,0,0,1,0.3092524858007118,bullish,1.2647816626876398,0.1639344262295085,2,0
XRPUSDT,2023-04-08 03:00:00+00:00,bearish,0.5107,0.510518,0.5123226,0.5077793200000001,845.9567719751526,-2.0271,"[{'type': 'sl_full', 'contracts': np.float64(845.9567719751526), 'price': np.float64(0.5124025999999999), 'pnl': np.float64(-1.5944085664123047), 'comm': np.float64(0.21673522472383763)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=47.39155966254543 WR=-29.41176470587851 ST=bullish Veto=False,80,0.5,0.75,0.0277368679430534,compressing,47.39155966254543,-29.41176470587851,-52.17391304347882,0,1,0,0.316314931125105,bullish,1.0384470347879584,0.1639344262295085,3,0
ETHUSDT,2023-04-08 08:00:00+00:00,bearish,1871.9,1871.408191,1883.13876,1851.670232,0.1220042599535081,3.1447,"['be_50%@2230', {'type': 'tp1', 'contracts': np.float64(0.0732025559721049), 'price': np.float64(1851.6702320000002), 'pnl': np.float64(1.4448690798451378), 'comm': np.float64(0.06777349689993024)}, {'type': 'tp2', 'contracts': np.float64(0.04880170398140327), 'price': np.float64(1831.9322725714287), 'pnl': np.float64(1.9264921064601839), 'comm': np.float64(0.04470070824000512)}]",tp2_reached,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=42.831998164566734 WR=-71.29186602870514 ST=bullish Veto=False,98,0.5,0.75,0.024314916008905,compressing,42.831998164566734,-71.29186602870514,-44.389901823282315,0,1,0,-0.1643995256346246,bearish,0.6486957533670545,0.5399999999999889,8,0
ETHUSDT,2023-04-08 11:00:00+00:00,bearish,1868.07,1867.585957,1876.92636,1852.1285519999992,0.1601501636142312,3.1683,"['be_50%@2230', {'type': 'tp1', 'contracts': np.float64(0.09609009816853874), 'price': np.float64(1852.1285519999994), 'pnl': np.float64(1.4853036050623847), 'comm': np.float64(0.08898560719121673)}, {'type': 'tp2', 'contracts': np.float64(0.0640600654456925), 'price': np.float64(1836.6711465714275), 'pnl': np.float64(1.9804048067498463), 'comm': np.float64(0.058828636925790365)}]",tp2_reached,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=54.38464719577915 WR=-81.15702479339039 ST=bullish Veto=False,98,0.5,0.75,0.024314916008905,compressing,54.38464719577915,-81.15702479339039,-78.94156560088098,0,1,0,-0.1649359056180009,bearish,0.850032942726191,0.5399999999999889,11,0
ETHUSDT,2023-04-09 04:00:00+00:00,bearish,1852.03,1851.531237,1863.24906,1831.835692,0.1306591380264627,1.2962,"['be_50%@2376', {'type': 'tp1', 'contracts': np.float64(0.07839548281587762), 'price': np.float64(1831.835692), 'pnl': np.float64(1.5440417483974813), 'comm': np.float64(0.07180382175684866)}, {'type': 'sl_rem', 'contracts': np.float64(0.05226365521058508), 'price': np.float64(1851.659594), 'pnl': np.float64(-0.006708413458099926), 'comm': np.float64(0.04838724929409398)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=57.34427180181411 WR=-83.7837837837861 ST=bearish Veto=False,95,0.25,0.5,0.0249208647419755,compressing,57.34427180181411,-83.7837837837861,-80.75560802833624,0,0,1,0.0050510187549654,neutral,0.762893449730542,0.5156596013919648,4,0
BNBUSDT,2023-04-09 04:00:00+00:00,bearish,311.2,311.119189,312.624,308.92159999999996,1.5459052988031217,-0.5097,"['be_50%@2376', {'type': 'sl_full', 'contracts': np.float64(1.5459052988031217), 'price': np.float64(311.13776), 'pnl': np.float64(-0.028709669834901558), 'comm': np.float64(0.240494755920867)}]",full_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=52.529907007437735 WR=-66.66666666666983 ST=bullish Veto=False,100,0.5,0.75,0.0157639450282942,compressing,52.529907007437735,-66.66666666666983,-81.81818181817806,0,1,0,-0.7052979453163114,bearish,0.771645885102641,0.7777777777778164,4,0
BNBUSDT,2023-04-09 05:00:00+00:00,bearish,311.2,311.11776,312.2232,309.56287999999995,2.1439834568930864,1.317,"['be_50%@2376', {'type': 'tp1', 'contracts': np.float64(1.2863900741358518), 'price': np.float64(309.56287999999995), 'pnl': np.float64(2.0001821984724595), 'comm': np.float64(0.19910930807645386)}, {'type': 'sl_rem', 'contracts': np.float64(0.8575933827572346), 'price': np.float64(311.13776), 'pnl': np.float64(-0.017151867655129095), 'comm': np.float64(0.13341484205095433)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=56.14143066532763 WR=-60.000000000002274 ST=bullish Veto=False,100,0.5,0.75,0.0157639450282942,compressing,56.14143066532763,-60.000000000002274,-80.00000000000114,0,1,0,-0.7314893959687279,bearish,0.69636637484703,0.7777777777778164,5,0
ETHUSDT,2023-04-09 05:00:00+00:00,bearish,1852.96,1852.491051,1862.6178,1835.57596,0.1537943886764802,1.2707,"['be_50%@2376', {'type': 'tp1', 'contracts': np.float64(0.09227663320588815), 'price': np.float64(1835.5759600000001), 'pnl': np.float64(1.560867634668837), 'comm': np.float64(0.08469038479123302)}, {'type': 'sl_rem', 'contracts': np.float64(0.06151775547059211), 'price': np.float64(1852.589408), 'pnl': np.float64(-0.006050710663071602), 'comm': np.float64(0.0569835710943765)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=51.93889306323104 WR=-42.990654205606354 ST=bearish Veto=False,95,0.25,0.5,0.0249208647419755,compressing,51.93889306323104,-42.990654205606354,-53.09523809523939,0,0,1,0.0120124257150399,neutral,0.925473617695648,0.5156596013919648,5,0
SOLUSDT,2023-04-09 17:00:00+00:00,bullish,20.1,20.10702,20.0099,20.2802,9.874723908878316,0.8152,"['be_50%@2530', {'type': 'tp1', 'contracts': np.float64(5.92483434532699), 'price': np.float64(20.2802), 'pnl': np.float64(1.0260628119237196), 'comm': np.float64(0.06007841274505021)}, {'type': 'sl_rem', 'contracts': np.float64(3.9498895635513267), 'price': np.float64(20.104020000000002), 'pnl': np.float64(-0.011849668690654428), 'comm': np.float64(0.03970432939171358)}]",tp1_partial_then_sl,Fib=0.0-0.25 Sig=LONG Phase=compressing CI=55.27030452620623 WR=-79.99999999999716 ST=bearish Veto=False,95,0.0,0.25,0.0187657430730477,compressing,55.27030452620623,-79.99999999999716,-45.00000000000009,0,0,1,-0.747924418505154,bearish,0.7505060180123189,0.4166666666666592,17,0
SOLUSDT,2023-04-11 20:00:00+00:00,bearish,23.3,23.281983,23.70732,22.485360000000004,4.39863637892281,-0.1612,"['be_50%@3162', {'type': 'sl_full', 'contracts': np.float64(4.39863637892281), 'price': np.float64(23.29534), 'pnl': np.float64(-0.058753214489894554), 'comm': np.float64(0.05123386499168785)}]",full_sl,Fib=0.75-1.0 Sig=SHORT Phase=trending CI=55.05699778906984 WR=-87.80487804878032 ST=bullish Veto=False,100,0.75,1.0,0.0421388491583232,trending,55.05699778906984,-87.80487804878032,-67.24137931034471,0,1,0,0.7549722583427243,bullish,2.140674408108374,0.6923076923076927,20,0
