symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type
BTCUSDT,2025-12-17T00:15:00+00:00,bearish,87537.63,87520.122474,88107.34296,86683.06056000001,0.002632904822807659,1.0926,"['be_50%@4659', {'type': 'tp1', 'contracts': np.float64(0.0015797428936845954), 'price': np.float64(86683.06056000001), 'pnl': np.float64(1.3223426102155114), 'comm': np.float64(0.06846847446124572)}, {'type': 'sl_rem', 'contracts': np.float64(0.0010531619291230636), 'price': np.float64(87520.122474), 'pnl': np.float64(0.0), 'comm': np.float64(0.04608643051090232)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T00:25:00+00:00,bearish,87500.72,87483.219856,88107.34296,86590.78556000002,0.0024997216960507204,1.1205,"['be_50%@4660', {'type': 'tp1', 'contracts': np.float64(0.0014998330176304322), 'price': np.float64(86590.78556000002), 'pnl': np.float64(1.3385024232065368), 'comm': np.float64(0.06493585960272225)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009998886784202883), 'price': np.float64(87483.219856), 'pnl': np.float64(0.0), 'comm': np.float64(0.04373674054288368)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T00:30:00+00:00,bearish,87453.27,87435.779346,88107.34296,86472.16056000002,0.0023440747252570565,1.151,"['be_50%@4663', {'type': 'tp1', 'contracts': np.float64(0.001406444835154234), 'price': np.float64(86472.16056000002), 'pnl': np.float64(1.3552766646272816), 'comm': np.float64(0.06080916180211984)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009376298901028227), 'price': np.float64(87435.77934600001), 'pnl': np.float64(0.0), 'comm': np.float64(0.04099120008962232)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T00:35:00+00:00,bearish,87470.77,87453.275846,88107.34296,86515.91056000002,0.0024356373361314985,1.1575,"['be_50%@4660', {'type': 'tp1', 'contracts': np.float64(0.0014613824016788991), 'price': np.float64(86515.91056000002), 'pnl': np.float64(1.3698491329050873), 'comm': np.float64(0.06321641457880484)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009742549344525994), 'price': np.float64(87453.275846), 'pnl': np.float64(0.0), 'comm': np.float64(0.04260089276350492)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T00:40:00+00:00,bearish,87440.25,87422.76195,88107.34296,86439.61056,0.0023502328857623427,1.1816,"['be_50%@4663', {'type': 'tp1', 'contracts': np.float64(0.0014101397314574056), 'price': np.float64(86439.61056), 'pnl': np.float64(1.3863808370765738), 'comm': np.float64(0.06094596461118056)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009400931543049371), 'price': np.float64(87422.76195), 'pnl': np.float64(0.0), 'comm': np.float64(0.04109277001981257)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T02:10:00+00:00,bearish,87282.17,87264.713566,88125.9,86016.57500000001,0.0018792125029493776,-0.164,"['be_50%@4668', {'type': 'sl_full', 'contracts': np.float64(0.0018792125029493776), 'price': np.float64(87264.713566), 'pnl': np.float64(0.0), 'comm': np.float64(0.08199447039976168)}]",full_sl
BTCUSDT,2025-12-17T03:15:00+00:00,bearish,87433.81,87416.323238,88125.9,86395.675,0.002287402116778867,1.2015,"['be_50%@4663', {'type': 'tp1', 'contracts': np.float64(0.0013724412700673201), 'price': np.float64(86395.675), 'pnl': np.float64(1.4007797640526847), 'comm': np.float64(0.059286494962661716)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009149608467115468), 'price': np.float64(87416.323238), 'pnl': np.float64(0.0), 'comm': np.float64(0.039991256563125376)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T03:20:00+00:00,bearish,87418.22,87400.736356,88125.9,86356.70000000001,0.002262478788531935,1.2202,"['be_50%@4663', {'type': 'tp1', 'contracts': np.float64(0.001357487273119161), 'price': np.float64(86356.70000000001), 'pnl': np.float64(1.4172660659437015), 'comm': np.float64(0.058614060599284735)}, {'type': 'sl_rem', 'contracts': np.float64(0.000904991515412774), 'price': np.float64(87400.73635600001), 'pnl': np.float64(0.0), 'comm': np.float64(0.03954846242150439)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T03:25:00+00:00,bearish,87347.14,87329.670572,88125.9,86179.0,0.0020794782408846274,-0.1816,"['be_50%@4666', {'type': 'sl_full', 'contracts': np.float64(0.0020794782408846274), 'price': np.float64(87329.670572), 'pnl': np.float64(0.0), 'comm': np.float64(0.09080007486904829)}]",full_sl
BTCUSDT,2025-12-17T03:30:00+00:00,bearish,87295.65,87278.19087,88125.9,86050.275,0.001947233330473026,-0.17,"['be_50%@4668', {'type': 'sl_full', 'contracts': np.float64(0.001947233330473026), 'price': np.float64(87278.19086999999), 'pnl': np.float64(0.0), 'comm': np.float64(0.08497550114272527)}]",full_sl
