symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type
BTCUSDT,2025-12-17T00:15:00+00:00,bearish,87537.63,87520.122474,88107.34296,86683.06056000001,0.002632904822807659,1.0926,"['breakeven_50% en vela 4659', {'type': 'tp1_partial', 'contracts': np.float64(0.0015797428936845954), 'exit_price': np.float64(86683.06056000001), 'pnl_gross': np.float64(1.3223426102155114), 'commission': np.float64(0.06846847446124572)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0010531619291230636), 'exit_price': np.float64(87520.122474), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.04608643051090232)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T00:25:00+00:00,bearish,87500.72,87483.219856,88107.34296,86590.78556000002,0.0024997216960507204,1.1205,"['breakeven_50% en vela 4660', {'type': 'tp1_partial', 'contracts': np.float64(0.0014998330176304322), 'exit_price': np.float64(86590.78556000002), 'pnl_gross': np.float64(1.3385024232065368), 'commission': np.float64(0.06493585960272225)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0009998886784202883), 'exit_price': np.float64(87483.219856), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.04373674054288368)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T00:30:00+00:00,bearish,87453.27,87435.779346,88107.34296,86472.16056000002,0.0023440747252570565,1.151,"['breakeven_50% en vela 4663', {'type': 'tp1_partial', 'contracts': np.float64(0.001406444835154234), 'exit_price': np.float64(86472.16056000002), 'pnl_gross': np.float64(1.3552766646272816), 'commission': np.float64(0.06080916180211984)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0009376298901028227), 'exit_price': np.float64(87435.77934600001), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.04099120008962232)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T00:35:00+00:00,bearish,87470.77,87453.275846,88107.34296,86515.91056000002,0.0024356373361314985,1.1575,"['breakeven_50% en vela 4660', {'type': 'tp1_partial', 'contracts': np.float64(0.0014613824016788991), 'exit_price': np.float64(86515.91056000002), 'pnl_gross': np.float64(1.3698491329050873), 'commission': np.float64(0.06321641457880484)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0009742549344525994), 'exit_price': np.float64(87453.275846), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.04260089276350492)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T00:40:00+00:00,bearish,87440.25,87422.76195,88107.34296,86439.61056,0.0023502328857623427,1.1816,"['breakeven_50% en vela 4663', {'type': 'tp1_partial', 'contracts': np.float64(0.0014101397314574056), 'exit_price': np.float64(86439.61056), 'pnl_gross': np.float64(1.3863808370765738), 'commission': np.float64(0.06094596461118056)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0009400931543049371), 'exit_price': np.float64(87422.76195), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.04109277001981257)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T02:05:00+00:00,bearish,87393.49,87376.011302,88125.9,86294.87500000003,0.0021648365875854983,1.2158,"['breakeven_50% en vela 4665', {'type': 'tp1_partial', 'contracts': np.float64(0.001298901952551299), 'exit_price': np.float64(86294.87500000003), 'pnl_gross': np.float64(1.4042900536418705), 'commission': np.float64(0.056044290816335156)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0008659346350341993), 'exit_price': np.float64(87376.01130200001), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.03783095722877073)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T02:10:00+00:00,bearish,87282.17,87264.713566,88125.9,86016.57500000001,0.0019008279026481824,-0.1659,"['breakeven_50% en vela 4668', {'type': 'sl_full', 'contracts': np.float64(0.0019008279026481824), 'exit_price': np.float64(87264.713566), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.0829376012314271)}]",full_sl
BTCUSDT,2025-12-17T03:15:00+00:00,bearish,87433.81,87416.323238,88125.9,86395.675,0.002313712664919893,1.2153,"['breakeven_50% en vela 4663', {'type': 'tp1_partial', 'contracts': np.float64(0.0013882275989519357), 'exit_price': np.float64(86395.675), 'pnl_gross': np.float64(1.4168920528132558), 'commission': np.float64(0.05996843023254089)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0009254850659679572), 'exit_price': np.float64(87416.323238), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.04045125083929835)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T03:20:00+00:00,bearish,87418.22,87400.736356,88125.9,86356.70000000001,0.0022885026593009047,1.2343,"['breakeven_50% en vela 4663', {'type': 'tp1_partial', 'contracts': np.float64(0.0013731015955805428), 'exit_price': np.float64(86356.70000000001), 'pnl_gross': np.float64(1.4335679862676913), 'commission': np.float64(0.05928826127953514)}, {'type': 'sl_remaining', 'contracts': np.float64(0.0009154010637203619), 'exit_price': np.float64(87400.73635600001), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.04000336351511266)}]",tp1_partial_then_sl
BTCUSDT,2025-12-17T03:25:00+00:00,bearish,87347.14,87329.670572,88125.9,86179.0,0.0021033971714319406,-0.1837,"['breakeven_50% en vela 4666', {'type': 'sl_full', 'contracts': np.float64(0.0021033971714319406), 'exit_price': np.float64(87329.670572), 'pnl_gross': np.float64(0.0), 'commission': np.float64(0.091844491031614)}]",full_sl
