symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type
BTCUSDT,2026-03-16T17:45:00+00:00,bullish,73947.5,73962.2895,73014.33868,75627.190376,0.0016074391081704943,1.486,"['be_50%@4579', {'type': 'tp1', 'contracts': np.float64(0.0009644634649022965), 'price': np.float64(75627.190376), 'pnl': np.float64(1.6057360675858283), 'comm': np.float64(0.036469831035431284)}, {'type': 'sl_rem', 'contracts': np.float64(0.0006429756432681978), 'price': np.float64(73962.2895), 'pnl': np.float64(0.0), 'comm': np.float64(0.023777975334425584)}]",tp1_partial_then_sl
BTCUSDT,2026-03-16T17:55:00+00:00,bullish,73943.18,73957.968636,73014.33868,75615.09437599998,0.001638913576587238,1.5075,"['be_50%@4579', {'type': 'tp1', 'contracts': np.float64(0.0009833481459523427), 'price': np.float64(75615.09437599998), 'pnl': np.float64(1.6295315240388926), 'comm': np.float64(0.037177981430325496)}, {'type': 'sl_rem', 'contracts': np.float64(0.0006555654306348952), 'price': np.float64(73957.96863599999), 'pnl': np.float64(0.0), 'comm': np.float64(0.024242143778870705)}]",tp1_partial_then_sl
BTCUSDT,2026-03-22T16:15:00+00:00,bearish,68773.89,68760.135222,69143.72142,68108.19344399999,0.004177317439480742,3.5274,"['be_50%@6271', {'type': 'tp1', 'contracts': np.float64(0.0025063904636884455), 'price': np.float64(68108.19344399999), 'pnl': np.float64(1.6340206552593086), 'comm': np.float64(0.08535286327354474)}, {'type': 'tp2', 'contracts': np.float64(0.001670926975792297), 'price': np.float64(67456.25166599998), 'pnl': np.float64(2.178694207012412), 'comm': np.float64(0.05635723529727672)}]",tp2_reached
BTCUSDT,2026-03-22T16:20:00+00:00,bearish,68739.8,68726.05204,69143.72142,68012.741444,0.003955754723404927,1.422,"['be_50%@6271', {'type': 'tp1', 'contracts': np.float64(0.002373452834042956), 'price': np.float64(68012.741444), 'pnl': np.float64(1.6930090556290944), 'comm': np.float64(0.0807125169656463)}, {'type': 'sl_rem', 'contracts': np.float64(0.0015823018893619707), 'price': np.float64(68726.05204000001), 'pnl': np.float64(0.0), 'comm': np.float64(0.05437268099564057)}]",tp1_partial_then_sl
BTCUSDT,2026-03-22T16:25:00+00:00,bearish,68715.09,68701.346982,69143.72142,67943.55344399999,0.003777473773101098,1.4589,"['be_50%@6278', {'type': 'tp1', 'contracts': np.float64(0.0022664842638606586), 'price': np.float64(67943.55344399999), 'pnl': np.float64(1.7175271291323226), 'comm': np.float64(0.07699649735580082)}, {'type': 'sl_rem', 'contracts': np.float64(0.0015109895092404392), 'price': np.float64(68701.346982), 'pnl': np.float64(0.0), 'comm': np.float64(0.05190350728024466)}]",tp1_partial_then_sl
BTCUSDT,2026-03-22T17:30:00+00:00,bearish,68799.78,68786.020044,69143.72142,68180.68544399999,0.004771239744028278,3.7173,"['be_50%@6271', {'type': 'tp1', 'contracts': np.float64(0.002862743846416967), 'price': np.float64(68180.68544399999), 'pnl': np.float64(1.7329179011733233), 'comm': np.float64(0.09759191884965092)}, {'type': 'tp2', 'contracts': np.float64(0.0019084958976113113), 'price': np.float64(67575.35084399997), 'pnl': np.float64(2.310557201564431), 'comm': np.float64(0.06448363993270952)}]",tp2_reached
BTCUSDT,2026-03-22T17:35:00+00:00,bearish,68697.33,68683.590534,69143.72142,67893.825444,0.003801118100423752,1.541,"['be_50%@6278', {'type': 'tp1', 'contracts': np.float64(0.002280670860254251), 'price': np.float64(67893.825444), 'pnl': np.float64(1.8011942272090777), 'comm': np.float64(0.07742173464065973)}, {'type': 'sl_rem', 'contracts': np.float64(0.001520447240169501), 'price': np.float64(68683.590534), 'pnl': np.float64(0.0), 'comm': np.float64(0.052214887836176185)}]",tp1_partial_then_sl
BTCUSDT,2026-03-22T17:40:00+00:00,bearish,68671.02,68657.285796,69143.72142,67820.15744400001,0.003638452814914321,1.5786,"['be_50%@6282', {'type': 'tp1', 'contracts': np.float64(0.0021830716889485926), 'price': np.float64(67820.15744400001), 'pnl': np.float64(1.8275112052673914), 'comm': np.float64(0.07402813282801629)}, {'type': 'sl_rem', 'contracts': np.float64(0.0014553811259657285), 'price': np.float64(68657.28579600001), 'pnl': np.float64(0.0), 'comm': np.float64(0.04996125895376666)}]",tp1_partial_then_sl
BTCUSDT,2026-03-22T18:30:00+00:00,bearish,68515.42,68501.716916,68986.59779999999,67667.29996000002,0.0037004737748776396,1.6001,"['be_50%@6298', {'type': 'tp1', 'contracts': np.float64(0.0022202842649265836), 'price': np.float64(67667.29996000002), 'pnl': np.float64(1.8526428377947073), 'comm': np.float64(0.07512032067562764)}, {'type': 'sl_rem', 'contracts': np.float64(0.001480189509951056), 'price': np.float64(68501.716916), 'pnl': np.float64(0.0), 'comm': np.float64(0.05069776139635)}]",tp1_partial_then_sl
BTCUSDT,2026-03-22T18:40:00+00:00,bearish,68470.01,68456.315998,68986.59779999999,67540.15196,0.0034216493256093244,1.6476,"['be_50%@6301', {'type': 'tp1', 'contracts': np.float64(0.0020529895953655944), 'price': np.float64(67540.15196), 'pnl': np.float64(1.8808752376621045), 'comm': np.float64(0.06932961462164558)}, {'type': 'sl_rem', 'contracts': np.float64(0.0013686597302437298), 'price': np.float64(68456.31599799999), 'pnl': np.float64(0.0), 'comm': np.float64(0.0468467014936511)}]",tp1_partial_then_sl
BTCUSDT,2026-03-29T12:00:00+00:00,bearish,66797.37,66784.010526,67121.98602,66213.061164,0.005521280280637928,-0.3687,"['be_50%@8232', {'type': 'sl_full', 'contracts': np.float64(0.005521280280637928), 'price': np.float64(66784.010526), 'pnl': np.float64(0.0), 'comm': np.float64(0.1843666201895598)}]",full_sl
BTCUSDT,2026-03-29T12:05:00+00:00,bearish,66781.33,66767.973734,67121.98602,66168.14916400002,0.005245071058481556,-0.3502,"['be_50%@8233', {'type': 'sl_full', 'contracts': np.float64(0.005245071058481556), 'price': np.float64(66767.973734), 'pnl': np.float64(0.0), 'comm': np.float64(0.17510138333283004)}]",full_sl
BTCUSDT,2026-03-29T12:10:00+00:00,bearish,66773.06,66759.705388,67121.98602,66144.993164,0.005105701173846271,-0.3409,"['be_50%@8249', {'type': 'sl_full', 'contracts': np.float64(0.005105701173846271), 'price': np.float64(66759.705388), 'pnl': np.float64(0.0), 'comm': np.float64(0.17042755308257143)}]",full_sl
BTCUSDT,2026-04-15T04:15:00+00:00,bearish,74338.0,74323.1324,74846.86494,73422.043108,0.0017454524999374363,-0.1297,"['be_50%@13028', {'type': 'sl_full', 'contracts': np.float64(0.0017454524999374363), 'price': np.float64(74323.1324), 'pnl': np.float64(0.0), 'comm': np.float64(0.06486374862538054)}]",full_sl
BTCUSDT,2026-04-15T04:20:00+00:00,bearish,74330.21,74315.343958,74846.86494,73400.23110800002,0.001717251799477895,-0.1276,"['be_50%@13043', {'type': 'sl_full', 'contracts': np.float64(0.001717251799477895), 'price': np.float64(74315.34395800001), 'pnl': np.float64(0.0), 'comm': np.float64(0.06380907907034712)}]",full_sl
BTCUSDT,2026-04-15T04:25:00+00:00,bearish,74318.14,74303.276372,74846.86494,73366.435108,0.0016762392355429208,-0.1246,"['be_50%@13045', {'type': 'sl_full', 'contracts': np.float64(0.0016762392355429208), 'price': np.float64(74303.27637200001), 'pnl': np.float64(0.0), 'comm': np.float64(0.06227503359206784)}]",full_sl
BTCUSDT,2026-04-15T05:15:00+00:00,bearish,74233.64,74218.793272,74583.37902,73604.10976400001,0.0025314171799709737,0.7462,"['be_50%@13027', {'type': 'tp1', 'contracts': np.float64(0.001518850307982584), 'price': np.float64(73604.10976400001), 'pnl': np.float64(0.933612235437596), 'comm': np.float64(0.05589681239191767)}, {'type': 'sl_rem', 'contracts': np.float64(0.0010125668719883896), 'price': np.float64(74218.793272), 'pnl': np.float64(0.0), 'comm': np.float64(0.037575745673090986)}]",tp1_partial_then_sl
BTCUSDT,2026-04-15T05:20:00+00:00,bearish,74114.35,74099.52713,74583.37902,73270.09776400003,0.0018995239699307821,-0.1408,"['be_50%@13047', {'type': 'sl_full', 'contracts': np.float64(0.0018995239699307821), 'price': np.float64(74099.52713), 'pnl': np.float64(0.0), 'comm': np.float64(0.07037691397198564)}]",full_sl
BTCUSDT,2026-04-15T05:25:00+00:00,bearish,74013.83,73999.027234,74583.37902,72988.64176400001,0.0015624225152271417,-1.0291,"[{'type': 'sl_full', 'contracts': np.float64(0.0015624225152271417), 'price': 74583.37902, 'pnl': np.float64(-0.9130043872595686), 'comm': np.float64(0.05826537532128381)}]",full_sl
BTCUSDT,2026-04-15T05:30:00+00:00,bearish,74018.5,74003.6963,74583.37902,73001.71776400002,0.0015616762021109178,-1.0213,"[{'type': 'sl_full', 'contracts': np.float64(0.0015616762021109178), 'price': 74583.37902, 'pnl': np.float64(-0.905276708598922), 'comm': np.float64(0.05823754404427635)}]",full_sl
BTCUSDT,2026-04-15T05:35:00+00:00,bearish,73888.01,73873.232398,74583.37902,72636.345764,0.0012576033066848875,-0.9864,"[{'type': 'sl_full', 'contracts': np.float64(0.0012576033066848875), 'price': 74583.37902, 'pnl': np.float64(-0.8930827400583031), 'comm': np.float64(0.04689815203964213)}]",full_sl
BTCUSDT,2026-04-15T05:40:00+00:00,bearish,73948.83,73934.040234,74583.37902,72806.64176400001,0.0013664825061860196,-0.9888,"[{'type': 'sl_full', 'contracts': np.float64(0.0013664825061860196), 'price': 74583.37902, 'pnl': np.float64(-0.8873100916570579), 'comm': np.float64(0.05095844134153569)}]",full_sl
BTCUSDT,2026-04-15T06:20:00+00:00,bearish,73956.9,73942.10862,74583.37902,72829.23776399999,0.0013722474860415358,-0.9819,"[{'type': 'sl_full', 'contracts': np.float64(0.0013722474860415358), 'price': 74583.37902, 'pnl': np.float64(-0.8799816942728418), 'comm': np.float64(0.051173427180339015)}]",full_sl
BTCUSDT,2026-04-15T06:25:00+00:00,bearish,73925.09,73910.304982,74583.37902,72740.169764,0.001294750588532329,-0.9676,"[{'type': 'sl_full', 'contracts': np.float64(0.001294750588532329), 'price': 74583.37902, 'pnl': np.float64(-0.8714630068263203), 'comm': np.float64(0.04828343694043738)}]",full_sl
BTCUSDT,2026-04-15T18:45:00+00:00,bullish,74344.8,74359.66896,73672.81908,75554.36565600001,0.002515140280918497,-0.187,"['be_50%@13195', {'type': 'sl_full', 'contracts': np.float64(0.002515140280918497), 'price': np.float64(74359.66896), 'pnl': np.float64(0.0), 'comm': np.float64(0.09351249933853042)}]",full_sl
BTCUSDT,2026-04-15T18:50:00+00:00,bullish,74368.33,74383.203666,73672.81908,75620.249656,0.002426016409520238,-0.1805,"['be_50%@13195', {'type': 'sl_full', 'contracts': np.float64(0.002426016409520238), 'price': np.float64(74383.203666), 'pnl': np.float64(0.0), 'comm': np.float64(0.09022743634320096)}]",full_sl
BTCUSDT,2026-04-15T18:55:00+00:00,bullish,74390.29,74405.168058,73672.81908,75681.73765599998,0.0023479893538127516,-0.1747,"['be_50%@13195', {'type': 'sl_full', 'contracts': np.float64(0.0023479893538127516), 'price': np.float64(74405.168058), 'pnl': np.float64(0.0), 'comm': np.float64(0.0873512712344163)}]",full_sl
BTCUSDT,2026-04-25T21:00:00+00:00,bullish,77507.78,77523.281556,77039.40242,78350.859644,0.003591106012574703,3.8802,"['be_50%@16190', {'type': 'tp1', 'contracts': np.float64(0.002154663607544822), 'price': np.float64(78350.859644), 'pnl': np.float64(1.7831523886151148), 'comm': np.float64(0.08440987294738952)}, {'type': 'tp2', 'contracts': np.float64(0.0014364424050298814), 'price': np.float64(79178.43773199999), 'pnl': np.float64(2.3775365181534864), 'comm': np.float64(0.05686763276113139)}]",tp2_reached
