symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score,fib_low_key,fib_high_key,fib_width,phase_h1,ci_value,wr_5m,wr_15m,st_aligned,st_bias_bullish,st_bias_bearish,mom_score,mom_direction,vol_ratio_5m,body_ratio_4h,hour_of_day,direction_long
BTCUSDT,2026-05-29T01:00:00+00:00,bearish,73786.0,73762.530657,74016.06666,73440.90001000001,0.006519849507964436,0.7552,"['be_50%@2033', {'type': 'tp1', 'contracts': np.float64(0.0039119097047786615), 'price': np.float64(73440.90001000001), 'pnl': np.float64(1.258190049912373), 'comm': np.float64(0.14364708473839918)}, {'type': 'sl_rem', 'contracts': np.float64(0.0026079398031857745), 'price': np.float64(73771.2428), 'pnl': np.float64(-0.02272074412817829), 'comm': np.float64(0.09619548021430101)}]",tp1_partial_then_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=53.34248394655865 WR=-24.036209849360013 ST=bullish Veto=False,95,0.0,0.25,0.01919500350905068,compressing,53.34248394655865,-24.036209849360013,-34.002436734776566,0,1,0,-0.14793729095157837,neutral,1.0553064585951688,0.46523953947174623,1,0
BTCUSDT,2026-06-07T20:00:00+00:00,bullish,61495.41,61528.404582,61061.632,62146.07700000001,0.0017420518060140998,1.3985,"['be_50%@4852', {'type': 'tp1', 'contracts': np.float64(0.0010452310836084598), 'price': np.float64(62146.07700000001), 'pnl': np.float64(0.6456104107812072), 'comm': np.float64(0.032478505702362395)}, {'type': 'tp2', 'contracts': np.float64(0.00069682072240564), 'price': np.float64(62763.74941800002), 'pnl': np.float64(0.8608138810416097), 'comm': np.float64(0.02186754060516867)}]",tp2_reached,Fib=0.0-0.25 Sig=LONG Phase=compressing CI=41.47954971033203 WR=-67.56753941969178 ST=bearish Veto=False,100,0.0,0.25,0.08011499400229083,compressing,41.47954971033203,-67.56753941969178,-65.42931937172773,0,0,1,-0.19354795649682927,bearish,2.1164706853306647,0.6641303591371703,20,0
BTCUSDT,2026-06-12T02:00:00+00:00,bearish,63474.39,63453.778122,63937.630020000004,62779.52996999999,0.002205199193553668,-0.1574,"['be_50%@6124', {'type': 'sl_full', 'contracts': np.float64(0.002205199193553668), 'price': np.float64(63461.695122), 'pnl': np.float64(-0.017458562015367215), 'comm': np.float64(0.06997283945229157)}]",full_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=59.96509460553051 WR=-58.74266074752989 ST=bullish Veto=False,80,0.0,0.25,0.08011499400229083,compressing,59.96509460553051,-58.74266074752989,-28.47702957835156,0,1,0,-0.043007156670707467,neutral,0.13551245993750277,0.1989852108244172,2,0
BTCUSDT,2026-06-17T06:00:00+00:00,bearish,65845.0,65824.963786,66180.28638,65342.07042999999,0.0015210319062310123,0.9287,"['be_50%@7568', {'type': 'tp1', 'contracts': np.float64(0.0009126191437386073), 'price': np.float64(65342.07042999999), 'pnl': np.float64(0.4406977208090497), 'comm': np.float64(0.029816212182967185)}, {'type': 'tp2', 'contracts': np.float64(0.000608412762492405), 'price': np.float64(64859.17707428569), 'pnl': np.float64(0.5875969610787329), 'comm': np.float64(0.019730575548375106)}]",tp2_reached,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=57.26483676293026 WR=-57.45388569700505 ST=bearish Veto=False,80,0.25,0.5,0.07417265240012112,compressing,57.26483676293026,-57.45388569700505,-54.00881823983277,0,0,1,0.4520108241672727,bullish,0.7533949350295329,0.39200190669727303,6,0
BTCUSDT,2026-06-20T20:00:00+00:00,bullish,63932.07,63949.436128,63660.424,64339.539000000004,0.002841702343307775,0.4779,"['be_50%@8618', {'type': 'tp1', 'contracts': np.float64(0.001705021405984665), 'price': np.float64(64339.539000000004), 'pnl': np.float64(0.6651337468089555), 'comm': np.float64(0.0548501456230926)}, {'type': 'sl_rem', 'contracts': np.float64(0.0011366809373231101), 'price': np.float64(63944.856414), 'pnl': np.float64(-0.005205673926954945), 'comm': np.float64(0.03634244966282861)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=58.88004476731269 WR=-19.961111111111272 ST=bullish Veto=False,100,0.25,0.5,0.07417265240012112,compressing,58.88004476731269,-19.961111111111272,-24.49699297836896,1,1,0,-0.0636160679817491,neutral,0.8559298995650849,0.7288650868751181,20,0
BTCUSDT,2026-06-20T21:00:00+00:00,bullish,63936.01,63952.306631,63660.424,64349.38900000001,0.0028140802547944274,0.4862,"['be_50%@8618', {'type': 'tp1', 'contracts': np.float64(0.0016884481528766564), 'price': np.float64(64349.38900000001), 'pnl': np.float64(0.6704529932015705), 'comm': np.float64(0.05432530349789572)}, {'type': 'sl_rem', 'contracts': np.float64(0.001125632101917771), 'price': np.float64(63948.797202), 'pnl': np.float64(-0.0039503254593884155), 'comm': np.float64(0.035991409504800266)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=56.70983678016337 WR=-35.27938644544912 ST=bullish Veto=False,100,0.25,0.5,0.07417265240012112,compressing,56.70983678016337,-35.27938644544912,-22.119230769231553,1,1,0,-0.05569185290766865,neutral,0.9236654285588045,0.7288650868751181,21,0
BTCUSDT,2026-06-20T23:00:00+00:00,bullish,64293.3,64313.617946,63747.14022,65112.539670000006,0.0014266294742461862,-0.9101,"[{'type': 'sl_full', 'contracts': np.float64(0.0014266294742461862), 'price': np.float64(63739.680934285716), 'pnl': np.float64(-0.8187954568647685), 'comm': np.float64(0.04546645374994984)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=38.893171398611514 WR=-15.246853823813458 ST=bullish Veto=False,100,0.25,0.5,0.07417265240012112,compressing,38.893171398611514,-15.246853823813458,-17.960901165716788,1,1,0,-0.04099772454015396,neutral,1.4610328577709863,0.7288650868751181,23,0
ETHUSDT,2026-05-30T23:00:00+00:00,bearish,2026.1,2025.517423,2035.4728200000002,2009.2289239999993,0.1648045319509165,-2.0046,"[{'type': 'sl_full', 'contracts': np.float64(0.1648045319509165), 'price': np.float64(2035.6501771428573), 'pnl': np.float64(-1.6699238274307928), 'comm': np.float64(0.16774218732991444)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=51.269626360463256 WR=-40.484429065744564 ST=bullish Veto=False,95,0.25,0.5,0.022724026357137956,compressing,51.269626360463256,-40.484429065744564,-97.13467048710646,0,1,0,-0.08010603099647602,neutral,1.3963349626743378,0.5723327305605631,23,0
ETHUSDT,2026-06-08T08:00:00+00:00,bullish,1668.08,1668.982187,1643.72596,1711.917272,0.02073050459742455,-0.0464,"['be_50%@5032', {'type': 'sl_full', 'contracts': np.float64(0.02073050459742455), 'price': np.float64(1668.4136159999998), 'pnl': np.float64(-0.011786772613964299), 'comm': np.float64(0.01729352806844686)}]",full_sl,Fib=0.0-0.25 Sig=LONG Phase=trending CI=47.007390477397436 WR=-70.49405306495953 ST=bullish Veto=False,80,0.0,0.25,0.10697326125073048,trending,47.007390477397436,-70.49405306495953,-36.632891660171225,0,1,0,-0.017788990017667913,neutral,1.5353429630211632,0.2603640040444886,8,0
ETHUSDT,2026-06-10T10:00:00+00:00,bearish,1622.3,1621.513683,1645.9152600000002,1579.7925319999995,0.06410765406459663,-1.6987,"[{'type': 'sl_full', 'contracts': np.float64(0.06410765406459663), 'price': np.float64(1646.3771171428573), 'pnl': np.float64(-1.593936444046413), 'comm': np.float64(0.052772687342831096)}]",full_sl,Fib=0.0-0.25 Sig=SHORT Phase=compressing CI=38.35848409402716 WR=-20.264317180617166 ST=bearish Veto=False,100,0.0,0.25,0.10697326125073048,compressing,38.35848409402716,-20.264317180617166,-60.846420015970025,1,0,1,-0.7542416618932347,bearish,0.4816442929496751,0.574827981651373,10,0
